item,cuisine,cholesterol,ash,carotene,vit_a,vit_e,thiamin,riboflavin,niacin,vit_c,calcium,potassium,magnesium,iron,zinc,selenium,copper,manganese,iodine,mono,poly,health_star,calories
Beer Pigeon,Jiangsu cuisine,0.0,0.05333333333333334,0.0,58.163333333333334,0.7926666666666667,0.07980333333333334,0.37818,2.942066666666667,3.6333333333333333,817.3226666666666,555.0143333333333,28.843999999999998,2.410133333333333,2.2692566666666667,11.229466666666667,0.08616,0.044169999999999994,15.433333333333332,0.0,7.006666666666667,2,386.56967366666663
Red-Braised Water Turtle,Jiangsu cuisine,55.833333333333336,0.8650000000000001,0.0,18.900000000000002,7.327333333333333,0.4102666666666666,0.1775,2.8998333333333335,2.85,18.625,195.32666666666668,27.62833333333333,1.2155,3.2419499999999997,6.753333333333334,0.0238,0.20298333333333332,0.32,9.436666666666666,6.278333333333333,1,274.5408933333333
Shrimp Roe Radish Cake,Hunan cuisine,90.775,1.55,0.0,24.8025,2.8186,0.49815,0.19375,4.74115,40.75,206.3675,363.42875,86.6575,4.550125,2.298075,13.34425,0.9668,0.896525,1.4525,1.5245000000000002,2.1455,2,635.1598275
Stir-Fried Chicken,Fujian cuisine,115.3,0.562744380848242,0.0,33.16648187508227,1.2041666666666666,0.19984402380301514,0.1867612428454272,10.84734,3.157384755135722,26.125982374834212,279.9257890433233,35.867666666666665,1.3455008085735407,2.3749666666666664,0.8666666666666667,0.0052,0.028310000000000002,9.828333333333333,3.1999999999999997,0.9656666666666666,2,225.10795632986787
Stir-Fried Chicken Dices in Soy Sauce,Shandong cuisine,11.596666666666666,0.0029999999999999996,0.0,6.3566666666666665,2.0795,0.019200000000000005,0.0613,2.4586333333333332,0.065,5.6066666666666665,37.62133333333333,6.101333333333333,0.2517333333333333,0.1437,0.022000000000000002,0.01839,0.03975,0.507,1.2013333333333334,1.0543333333333333,4,112.71678166666668
Braised Preserved Eggs in Smooth Sauce,Jiangsu cuisine,362.6666666666667,1.6586666666666667,0.0,150.77,2.7526666666666664,0.0061333333333333335,0.16369999999999998,0.17863333333333334,2.796666666666667,58.718333333333334,137.97166666666666,6.028333333333333,2.031166666666667,0.7522666666666668,0.1045,0.06621666666666666,0.032150000000000005,0.61,5.592333333333333,2.1338333333333335,3,190.10139666666666
Hua Tuo Tonifying Soup,Anhui cuisine,138.5,1.895,0.0,35.715,2.0740000000000003,0.243985,0.304715,16.297449999999998,1.5935,32.093,372.92575,54.175,3.707775,3.188545,22.4289,0.067565,0.039085,0.79,2.425,0.8175,3,302.8107295
Braised Duck with Pickled Cucumber,Anhui cuisine,0.0,0.857,0.0,25.71,0.013730000000000001,0.19247,0.42328,9.50164,3.4490000000000003,55.837,253.602,23.386000000000003,5.101100000000001,0.49896,1.1617000000000002,0.04551,0.30815000000000003,0.258,0.08,0.22799999999999998,2,384.066069
Fried Lotus Flower Pastry,Hunan cuisine,171.6,0.001,0.0,68.64,0.9266147424923901,0.057326666666666665,0.08638666666666667,0.281,0.0,25.399567903576138,66.3617537724209,8.29708710575423,0.8560480797821907,0.49012336765680636,4.1946666666666665,0.1687343552877115,0.11185753772420896,0.049999999999999996,0.56074554743188,0.5814565894745634,2,270.4914979268219
Braised Vegetarian Eggplant Blocks,Fujian cuisine,14.200000000000001,1.2166666666666666,40.53333333333333,158.48133333333334,1.72,0.14262333333333332,0.07335333333333334,1.4500866666666665,56.82633333333334,50.190666666666665,76.347,29.237333333333336,1.1181333333333334,0.53559,8.106133333333334,0.002026666666666666,0.00237,3.6533333333333338,1.3933333333333333,0.27653333333333335,4,119.56843366666668
Braised Pork with Snow Pear,Hunan cuisine,111.66666666666667,1.5446666666666669,0.0,83.30033333333334,3.13067,0.84015,0.31770000000000004,5.081266666666667,27.256333333333334,26.772999999999996,354.1286666666667,38.99166666666667,2.082666666666667,6.304223333333333,11.551333333333334,0.12433,0.18654333333333337,0.326,17.671333333333333,6.374333333333333,1,606.5207363333333
Mushroom Sprout Squid Rolls,Hunan cuisine,240.225,2.8023333333333333,7833.333333333333,60.578328844304764,6.199083333333333,0.46715191992912936,0.772353306399162,4.6102440432138065,127.85833333333333,51.3572828485106,275.2805208052279,59.205655736009795,2.6926753199397986,2.962609127463067,52.06901275913477,0.18527113017999874,0.9855031464670624,7.257000000000001,0.2125,0.8178333333333333,3,171.76166761660707
Fermented Tofu Marinated Pork Intestines,Anhui cuisine,0.0,1.2133333333333334,0.0,5.633333333333333,4.308216666666667,0.40513333333333335,0.4458333333333333,6.152833333333334,9.450000000000001,129.38666666666668,274.89833333333337,62.35833333333333,7.281166666666667,2.346716666666667,4.9303333333333335,0.2171833333333333,0.9185,0.6749999999999999,2.285,2.781333333333334,3,375.4602366666666
