item,cuisine,trans_fat,cholesterol,health_star,calories
Nacho Cheese Doritos® Locos Tacos Supreme,Taco Bell,0.0,35,4,200
3 chicken strips Chicken Strips,Dairy Queen,0.0,60,2,350
Grilled Steak Soft Taco,Taco Bell,0.0,30,3,250
Chalupa Supreme® - Steak,Taco Bell,0.0,30,3,340
Corn Dog,Dairy Queen,0.0,20,3,260
Gordita Supreme® - Chicken,Taco Bell,0.0,40,3,270
"6"" Sweet Onion Chicken Teriyaki",Subway,0.0,50,2,380
Chicken Mozzarella Sandwich,Dairy Queen,0.0,60,1,640
Spicy Sweet Double Stacked Taco,Taco Bell,0.0,35,2,340
Rotisserie-Style Chicken Caesar Wrap,Subway,0.5,135,1,730
1 Piece Chick-n-Strips,Chick Fil-A,0.0,25,4,120
3 Piece Super Crunch Chicken Strip Dinner,Sonic,1.0,55,1,970
Arby's Melt,Arbys,0.0,30,2,330
Double Roast Beef,Arbys,1.5,95,1,510
Small Jumbo Popcorn Chicken,Sonic,0.0,45,2,380
Chili Cheese Mega Dog,Dairy Queen,2.0,100,1,760
Buffalo Chicken Salad (with Ranch dressing),Subway,0.0,60,2,360
"6"" Carved Turkey",Subway,0.0,45,3,330
Sausage Pizza,Subway,0.0,70,1,820
Double Quarter Pound King,Burger King,3.0,210,1,900
Double Bacon Cheeseburger,Burger King,1.0,105,1,520
Crispy Bacon Smokehouse Chicken Sandwich,Mcdonalds,0.5,120,1,920
Single Bacon Smokehouse Burger,Mcdonalds,1.5,130,1,840
Chipotle Crispy Chicken Griller,Taco Bell,0.0,25,2,290
Footlong Quarter Pound Coney,Sonic,1.0,85,1,830
Bacon & Swiss Sourdough King,Burger King,3.0,200,1,1000
Cool Ranch Habanero Double Stacked Taco,Taco Bell,0.5,40,2,350
Spicy Chicken Sandwich,Chick Fil-A,0.0,60,2,450
Deluxe Hamburger,Dairy Queen,1.0,50,2,350
Filet-O-Fish®,Mcdonalds,0.0,40,2,380
30 piece Chicken Nuggets,Chick Fil-A,0.0,285,2,970
1/2 lb.* Combo Burrito,Taco Bell,1.0,45,2,460
Pico Guacamole 1/4 lb Burger,Mcdonalds,1.5,95,1,580
"6"" Turkey Breast & Ham",Subway,0.0,20,3,280
Footlong Rotisserie Style Chicken,Subway,0.0,100,2,700
Spicy Grilled Chicken Sub Sandwich,Chick Fil-A,0.0,85,2,430
Veggie Burger W/ Mustard,Sonic,0.0,10,2,450
Chicken Burger,Burger King,0.0,5,2,480
Double Quarter Pounder® with Cheese,Mcdonalds,2.5,175,1,770
Ultimate Chicken Club,Sonic,0.5,100,1,100
Steak & Cheese Salad,Subway,0.0,50,2,210
Grilled Chicken Sandwich,Sonic,0.0,80,2,430
Chargrilled Chicken Sandwich,Chick Fil-A,0.0,55,2,310
Fire-Roasted Philly Steak,Arbys,0.5,105,1,640
Classic Roast Beef,Arbys,0.5,50,2,360
Grilled Chicken Sandwich,Dairy Queen,0.0,50,2,360
Traditional Ultimate Chicken Sandwich,Sonic,0.0,90,1,730
Chalupa Supreme®–Beef,Taco Bell,0.0,30,3,370
Burrito Supreme® - Chicken,Taco Bell,0.0,40,2,390
Roast Beef Salad,Subway,0.0,40,5,140
"6"" B.L.T.",Subway,0.0,20,3,320
Chicken Bacon Ranch Sandwich,Dairy Queen,0.0,65,1,500
Doritos® Cheesy Gordita Crunch - Fiery,Taco Bell,1.0,55,1,490
"All Beef All-american Style Dog – 6""",Sonic,0.0,40,1,370
Sonic Burger W/ Mayonnaise,Sonic,2.0,110,1,740
Chicken Caesar Salad w/ Crispy Chicken,Burger King,0.0,80,1,670
Beef Crunchy Cheesy Core Burrito,Taco Bell,0.5,45,1,630
"6"" Meatball Marinara",Subway,1.0,30,2,480
10 piece Buttermilk Crispy Chicken Tenders,Mcdonalds,1.0,240,1,1210
Hamburger,Mcdonalds,0.0,30,3,250
1/2 lb. GrillBurger with Cheese,Dairy Queen,2.0,135,1,800
Original Chicken Sandwich,Burger King,1.0,65,1,630
Cheeseburger,Burger King,0.0,45,2,300
Chicken Strip Sandwich,Sonic,0.0,35,2,450
